Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:36:28 GMT 2015,0.0,508342272,8589934592,8081592320
Thu Mar 19 19:36:30 GMT 2015,42.66169,414408704,8589934592,8175525888
Thu Mar 19 19:36:32 GMT 2015,24.09938,401584128,8589934592,8188350464
Thu Mar 19 19:36:34 GMT 2015,10.585308,403423232,8589934592,8186511360
Thu Mar 19 19:36:36 GMT 2015,11.524164,408317952,8589934592,8181616640
Thu Mar 19 19:36:38 GMT 2015,11.552793,408301568,8589934592,8181633024
Thu Mar 19 19:36:40 GMT 2015,10.486889,408727552,8589934592,8181207040
Thu Mar 19 19:36:42 GMT 2015,8.3541155,409247744,8589934592,8180686848
Thu Mar 19 19:36:44 GMT 2015,10.656756,408748032,8589934592,8181186560
Thu Mar 19 19:36:46 GMT 2015,8.71731,410439680,8589934592,8179494912
Thu Mar 19 19:36:48 GMT 2015,6.4757166,410296320,8589934592,8179638272
Thu Mar 19 19:36:50 GMT 2015,6.0869575,410730496,8589934592,8179204096
Thu Mar 19 19:36:52 GMT 2015,6.4676642,410996736,8589934592,8178937856
Thu Mar 19 19:36:54 GMT 2015,10.074627,409735168,8589934592,8180199424
Thu Mar 19 19:36:56 GMT 2015,6.8153677,409653248,8589934592,8180281344
Thu Mar 19 19:36:58 GMT 2015,4.726368,409174016,8589934592,8180760576
Thu Mar 19 19:37:00 GMT 2015,3.3540368,409817088,8589934592,8180117504
Thu Mar 19 19:37:02 GMT 2015,3.6024868,409038848,8589934592,8180895744
Thu Mar 19 19:37:04 GMT 2015,3.3540368,409288704,8589934592,8180645888
Thu Mar 19 19:37:06 GMT 2015,5.086851,409640960,8589934592,8180293632
Thu Mar 19 19:37:08 GMT 2015,4.2236032,409911296,8589934592,8180023296
Thu Mar 19 19:37:10 GMT 2015,5.5970135,408805376,8589934592,8181129216
Thu Mar 19 19:37:12 GMT 2015,17.267078,408969216,8589934592,8180965376
Thu Mar 19 19:37:14 GMT 2015,14.534163,404422656,8589934592,8185511936
Thu Mar 19 19:37:17 GMT 2015,22.512436,404692992,8589934592,8185241600
Thu Mar 19 19:37:19 GMT 2015,10.945272,403906560,8589934592,8186028032
Thu Mar 19 19:37:21 GMT 2015,7.3201,402231296,8589934592,8187703296
Thu Mar 19 19:37:23 GMT 2015,7.3383093,402894848,8589934592,8187039744
Thu Mar 19 19:37:25 GMT 2015,5.479455,402841600,8589934592,8187092992
Thu Mar 19 19:37:27 GMT 2015,6.079406,389816320,8589934592,8200118272
Thu Mar 19 19:37:29 GMT 2015,5.8312654,402903040,8589934592,8187031552
Thu Mar 19 19:37:31 GMT 2015,5.7213902,384954368,8589934592,8204980224
Thu Mar 19 19:37:33 GMT 2015,5.590063,402391040,8589934592,8187543552
Thu Mar 19 19:37:35 GMT 2015,5.707198,384045056,8589934592,8205889536
Thu Mar 19 19:37:37 GMT 2015,5.5970135,401268736,8589934592,8188665856
Thu Mar 19 19:37:39 GMT 2015,5.472636,400662528,8589934592,8189272064
Thu Mar 19 19:37:41 GMT 2015,5.3416133,400138240,8589934592,8189796352
Thu Mar 19 19:37:43 GMT 2015,6.3275456,410927104,8589934592,8179007488
Thu Mar 19 19:37:45 GMT 2015,6.226653,411361280,8589934592,8178573312
Thu Mar 19 19:37:47 GMT 2015,5.583125,409673728,8589934592,8180260864
Thu Mar 19 19:37:49 GMT 2015,5.7213902,409030656,8589934592,8180903936
Thu Mar 19 19:37:51 GMT 2015,5.8312654,409518080,8589934592,8180416512
Thu Mar 19 19:37:53 GMT 2015,5.962735,409931776,8589934592,8180002816
Thu Mar 19 19:37:55 GMT 2015,5.583125,409321472,8589934592,8180613120
Thu Mar 19 19:37:57 GMT 2015,5.977583,409731072,8589934592,8180203520
Thu Mar 19 19:37:59 GMT 2015,5.590063,410234880,8589934592,8179699712
Thu Mar 19 19:38:01 GMT 2015,9.305209,407994368,8589934592,8181940224
Thu Mar 19 19:38:03 GMT 2015,5.977583,409141248,8589934592,8180793344
Thu Mar 19 19:38:05 GMT 2015,5.074257,409661440,8589934592,8180273152
Thu Mar 19 19:38:07 GMT 2015,4.1147113,409153536,8589934592,8180781056
Thu Mar 19 19:38:09 GMT 2015,4.234123,408535040,8589934592,8181399552
Thu Mar 19 19:38:11 GMT 2015,4.4609666,409378816,8589934592,8180555776
Thu Mar 19 19:38:13 GMT 2015,5.112219,409985024,8589934592,8179949568
Thu Mar 19 19:38:15 GMT 2015,7.4626865,410636288,8589934592,8179298304
Thu Mar 19 19:38:17 GMT 2015,6.1957893,410554368,8589934592,8179380224
Thu Mar 19 19:38:19 GMT 2015,7.18711,409415680,8589934592,8180518912
Thu Mar 19 19:38:21 GMT 2015,8.219176,409870336,8589934592,8180064256
Thu Mar 19 19:38:23 GMT 2015,5.4931345,409530368,8589934592,8180404224
Thu Mar 19 19:38:25 GMT 2015,6.2034726,409124864,8589934592,8180809728
Thu Mar 19 19:38:27 GMT 2015,5.093169,409133056,8589934592,8180801536
Thu Mar 19 19:38:29 GMT 2015,11.055899,408907776,8589934592,8181026816
Thu Mar 19 19:38:31 GMT 2015,6.583852,411688960,8589934592,8178245632
Thu Mar 19 19:38:33 GMT 2015,14.303482,409628672,8589934592,8180305920
